RANK	LEMMA	FREQUENCY	RANGE	UDP
1	הוא	121,008.92	43455	22,227,310.52
2	ה	50,841.12	43458	9,153,952.58
3	את	35,337.28	43426	6,357,357.64
4	ל	29,102.77	43448	5,311,835.36
5	לא	27,213.76	43433	4,822,345.74
6	זה	26,418.69	43441	4,614,840.01
7	ב	24,839.48	43450	4,472,208.92
8	של	20,088.89	43445	3,529,189.96
9	ש	20,028.64	43439	3,527,087.63
10	היה	13,312.52	43420	2,298,194.02
11	מה	12,192.80	43403	2,107,876.08
12	ו	9,840.85	43429	1,687,960.58
13	על	9,119.70	43430	1,597,865.21
14	כול	6,842.01	43414	1,174,558.76
15	ידע	6,205.85	43323	1,032,405.06
16	כן	6,232.26	43226	971,073.85
17	מ	5,479.15	43411	943,781.99
18	יש	5,519.12	43376	937,885.08
19	עשה	4,941.68	43311	810,088.75
20	אבל	4,757.33	42963	785,248.37
21	טוב	4,891.35	43291	766,201.25
22	רצה	4,671.67	43202	765,197.00
23	אם	4,444.59	43321	745,301.07
24	עם	4,333.17	43331	727,755.37
25	אמר	4,128.07	43196	681,096.31
26	אז	4,052.24	43202	653,014.96
27	סדר	4,305.52	42733	619,555.39
28	צריך	3,501.64	43101	554,553.56
29	רק	2,996.30	43306	492,899.21
30	חשב	3,021.85	43062	486,623.93
31	כאן	3,217.62	41759	482,525.32
32	הלך	3,297.97	43040	474,757.64
33	דבר	2,835.26	43192	460,896.72
34	איש	2,904.93	42958	447,039.01
35	אל	2,829.27	43249	445,302.82
36	כך	2,777.32	43151	439,802.19
37	יותר	2,682.46	43206	437,958.99
38	שם	2,640.94	43109	419,597.40
39	יכול	2,531.17	43141	395,488.52
40	ראה	2,399.17	43120	384,717.06
41	עכשיו	2,398.62	42758	376,752.89
42	אחד	2,308.83	43074	367,649.84
43	משהו	2,190.14	42768	347,937.78
44	למה	2,234.96	42608	347,496.06
45	בא	2,166.77	43050	337,851.62
46	זאת	2,365.90	41920	331,839.07
47	או	2,131.42	42796	327,755.51
48	זמן	2,054.03	43034	327,428.07
49	נכון	2,037.30	42700	316,377.56
50	כמו	2,002.99	42849	312,095.47
51	אין	1,945.44	42895	311,530.13
52	איך	1,898.80	42714	303,623.98
53	מי	1,927.41	42688	299,032.16
54	זו	2,012.55	38399	279,356.01
55	והיי	2,006.58	36676	267,355.76
56	כמה	1,691.00	42552	266,855.79
57	גם	1,657.26	42702	258,224.80
58	אולי	1,630.97	42239	248,128.64
59	נראה	1,603.47	42564	247,930.02
60	בית	1,689.04	40888	239,606.95
61	כדי	1,580.41	41152	235,870.54
62	קרה	1,541.01	42161	234,080.20
63	דיבר	1,495.64	41648	228,461.87
64	פעם	1,479.18	42191	227,908.16
65	דרך	1,431.59	41924	217,772.03
66	כ	1,396.49	42075	215,809.23
67	באמת	1,443.69	41591	213,274.80
68	הגיע	1,383.15	41984	212,188.29
69	מן	1,342.58	42071	208,680.69
70	חייב	1,399.35	40994	205,875.28
71	אחר	1,319.13	41924	204,371.79
72	עוד	1,343.73	42041	203,716.90
73	יום	1,374.21	41382	203,492.76
74	פשוט	1,427.29	40438	202,151.77
75	תודה	1,390.71	40779	201,382.26
76	כי	1,431.30	38980	200,396.45
77	כבר	1,292.23	41870	196,833.94
78	ילד	1,478.80	39003	196,063.68
79	אהב	1,378.72	40244	195,979.56
80	חיים	1,325.23	41514	195,630.26
81	בן	1,397.82	40029	189,652.26
82	מישהו	1,230.50	40919	185,007.30
83	קיבל	1,258.75	40776	182,920.92
84	מאוד	1,249.26	40437	180,116.99
85	לפני	1,165.26	41249	177,825.48
86	אלה	1,205.87	38074	175,864.37
87	אף	1,156.10	40829	174,348.57
88	עד	1,126.08	41190	172,739.78
89	הרבה	1,109.41	41188	169,322.17
90	רגע	1,138.53	40784	167,602.20
91	שנה	1,131.09	39679	163,922.25
92	עדיין	1,074.35	40811	162,899.29
93	עצמו	1,058.48	41000	161,896.89
94	האם	1,301.20	31767	160,232.98
95	ניסה	1,041.05	40669	157,586.42
96	חזר	1,047.71	40579	155,734.53
97	מצא	1,067.02	39632	152,592.88
98	מקום	1,022.76	40314	152,190.76
99	מת	1,080.04	39030	151,080.12
100	איפה	1,029.43	38203	147,222.19
101	אלוהים	1,088.19	35618	146,740.38
102	אדם	1,032.75	38089	142,442.27
103	הצטער	983.47	38552	141,426.15
104	עבר	935.03	40252	140,794.43
105	הכיל	947.86	34316	139,697.20
106	הבין	921.06	40099	138,979.22
107	חבר	964.33	38452	137,171.10
108	גדול	940.92	39208	136,557.19
109	איזה	924.60	39606	135,631.78
110	ממש	984.20	37369	135,556.18
111	בוא	946.82	38124	132,984.64
112	נתן	887.93	39452	132,919.69
113	קצת	904.88	38554	132,689.73
114	שמע	883.99	39499	132,389.87
115	עבודה	926.65	37349	131,496.42
116	הנה	911.68	38711	130,297.94
117	קדימה	1,026.32	34380	129,949.65
118	שני	871.35	39248	128,672.38
119	עזר	861.50	38806	125,101.16
120	יצא	838.60	39369	124,499.62
121	ובכן	974.64	27119	124,415.44
122	כש	819.06	38893	122,574.91
123	שוב	812.25	39393	121,475.41
124	לילה	873.88	35873	121,454.78
125	יד	840.78	37277	120,281.50
126	היום	831.50	37991	120,063.40
127	בדיוק	795.28	38931	118,899.34
128	אחת	795.49	39146	118,611.48
129	פה	924.87	32392	116,621.23
130	בבקשה	823.33	36882	116,224.18
131	הגיד	786.67	35355	113,058.11
132	אי	758.57	38291	111,108.95
133	קטן	767.54	37651	110,553.07
134	שום	755.65	36788	110,128.53
135	הרגיש	767.59	36977	108,848.61
136	אמא	862.25	26720	108,596.03
137	בטוח	731.46	38426	108,451.32
138	אפילו	721.87	38453	108,303.40
139	קשר	757.66	36266	107,386.86
